% 1. Title: Directive Keywords present in file dataset_corrected.csv

@RELATION directive_keywords_3

@ATTRIBUTE id NUMERIC
@ATTRIBUTE keyword_count NUMERIC
@ATTRIBUTE is_directive {directive, non-directive, revise}

@DATA
63,0,non-directive
63,1,directive
63,0,non-directive
63,1,directive
63,0,non-directive
63,1,directive
63,0,non-directive
63,1,directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
63,1,directive
63,0,non-directive
63,1,directive
63,0,non-directive
63,0,non-directive
63,0,non-directive
64,9,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,1,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,1,directive
64,1,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,1,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,1,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,1,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,1,directive
64,0,non-directive
64,0,non-directive
64,1,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,2,directive
64,0,non-directive
64,2,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,1,directive
64,1,directive
64,0,non-directive
64,1,directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
64,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
65,0,non-directive
66,0,non-directive
66,0,non-directive
66,0,non-directive
66,0,non-directive
66,0,non-directive
66,0,non-directive
66,0,non-directive
66,0,non-directive
67,11,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,1,directive
67,1,directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,1,directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,2,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,1,directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
67,0,non-directive
68,2,directive
68,1,directive
68,1,directive
68,0,non-directive
68,0,non-directive
68,0,non-directive
68,0,non-directive
68,0,non-directive
68,0,non-directive
68,0,non-directive
68,0,non-directive
68,0,non-directive
70,0,non-directive
70,0,non-directive
70,0,non-directive
70,0,non-directive
70,0,non-directive
70,0,non-directive
70,0,non-directive
70,0,non-directive
70,0,non-directive
71,11,directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,0,non-directive
71,1,directive
71,0,non-directive
71,0,non-directive
71,2,directive
71,1,directive
71,0,non-directive
71,2,directive
71,1,directive
71,0,non-directive
71,0,non-directive
71,2,directive
71,1,directive
71,3,directive
71,0,non-directive
71,0,non-directive
71,1,directive
71,0,non-directive
71,1,directive
